Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"611","20161116999","DATA UPDATE userauthorize Pin=1	AuthorizeTimezoneId=1	AuthorizeDoorId=1	DevID=4
Pin=1	AuthorizeTimezoneId=1	AuthorizeDoorId=2	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"610","20161116999","DATA DELETE SuperAuthorize Pin=1
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"609","20161116999","DATA UPDATE mulcarduser Pin=1	CardNo=194accf2	LossCardFlag=0	CardType=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"608","20161116999","DATA UPDATE extuser Pin=1	FunSwitch=0	FirstName=Jhuan	LastName=Nohl
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"607","20161116999","DATA UPDATE user CardNo=	Pin=1	Password=	Group=0	StartTime=0	EndTime=0	Name=	ViceCard=	SuperAuthorize=0	Disable=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"606","20161116999","DATA UPDATE DoorParameters ID=1	Name=DoorMultiCardOpenDoor	Value=0	DevID=4
ID=2	Name=DoorMultiCardOpenDoor	Value=0	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"605","20161116999","DATA DELETE multimcard *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"604","20161116999","DATA UPDATE DoorParameters ID=1	Name=MaskFlag	Value=0	DevID=4
ID=2	Name=MaskFlag	Value=0	DevID=4
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"603","20161116999","SET OPTIONS UserWithMulCardOn=1
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"602","20161116999","DATA UPDATE WGFormat ID=2	CardBit=26	SiteCode=0	FormatName=Wiegand Format26	CardFormat=pccccccccccccccccccccccccp:eeeeeeeeeeeeeooooooooooooo
ID=3	CardBit=26	SiteCode=0	FormatName=Wiegand Format26a	CardFormat=pssssssssccccccccccccccccp:eeeeeeeeeeeeeooooooooooooo
ID=4	CardBit=34	SiteCode=0	FormatName=Wiegand Format34	CardFormat=pccccccccccccccccccccccccccccccccp:eeeeeeeeeeeeeeeeeooooooooooooooooo
ID=5	CardBit=34	SiteCode=0	FormatName=Wiegand Format34a	CardFormat=pssssssssssssssssccccccccccccccccp:eeeeeeeeeeeeeeeeeooooooooooooooooo
ID=6	CardBit=36	SiteCode=0	FormatName=Wiegand Format36	CardFormat=pssssssssssssssssccccccccccccccccccp:oooooooooooooooeeeeeeeeeeeeeeeeeeeee
ID=7	CardBit=37	SiteCode=0	FormatName=Wiegand Format37	CardFormat=psssssssssssssssscccccccccccccccccccp:eeeeeeeeeeeeeeeeeeboooooooooooooooooo
ID=8	CardBit=37	SiteCode=0	FormatName=Wiegand Format37a	CardFormat=pmmmmsssssssssssscccccccccccccccccccp:eeeeeeeeeeeeeeeeeeooooooooooooooooooo
ID=9	CardBit=50	SiteCode=0	Format...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"601","20161116999","DATA DELETE WGFormat *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"600","20161116999","DATA UPDATE DefaultWGFormat ID=2	CardBit=26	SiteCode=0	FormatName=Wiegand Format26	CardFormat=pccccccccccccccccccccccccp:eeeeeeeeeeeeeooooooooooooo
ID=4	CardBit=34	SiteCode=0	FormatName=Wiegand Format34	CardFormat=pccccccccccccccccccccccccccccccccp:eeeeeeeeeeeeeeeeeooooooooooooooooo
ID=6	CardBit=36	SiteCode=0	FormatName=Wiegand Format36	CardFormat=pssssssssssssssssccccccccccccccccccp:oooooooooooooooeeeeeeeeeeeeeeeeeeeee
ID=7	CardBit=37	SiteCode=0	FormatName=Wiegand Format37	CardFormat=psssssssssssssssscccccccccccccccccccp:eeeeeeeeeeeeeeeeeeboooooooooooooooooo
ID=9	CardBit=50	SiteCode=0	FormatName=Wiegand Format50	CardFormat=pssssssssssssssssccccccccccccccccccccccccccccccccp:eeeeeeeeeeeeeeeeeeeeeeeeeooooooooooooooooooooooooo
ID=10	CardBit=66	SiteCode=0	FormatName=Wiegand Format66	CardFormat=pccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccp:eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeooooooooooooooooooooooooooooooooo
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"599","20161116999","DATA DELETE DefaultWGFormat *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:54","0","",
"598","20161116999","SET OPTIONS WGFmtWithSitecodeOn=1
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:53","0","",
"597","20161116999","DATA DELETE holiday *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:53","0","",
"596","20161116999","DATA UPDATE timezone TimezoneId=1	SunTime1=2359	SunTime2=0	SunTime3=0	MonTime1=2359	MonTime2=0	MonTime3=0	TueTime1=2359	TueTime2=0	TueTime3=0	WedTime1=2359	WedTime2=0	WedTime3=0	ThuTime1=2359	ThuTime2=0	ThuTime3=0	FriTime1=2359	FriTime2=0	FriTime3=0	SatTime1=2359	SatTime2=0	SatTime3=0	Hol1Time1=2359	Hol1Time2=0	Hol1Time3=0	Hol2Time1=2359	Hol2Time2=0	Hol2Time3=0	Hol3Time1=2359	Hol3Time2=0	Hol3Time3=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:53","0","",
"595","20161116999","DATA DELETE timezone *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:53","0","",
"594","20161116999","SET OPTIONS AutoServerMode=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"593","20161116999","DATA UPDATE ReaderProperty ID=1	DevID=4	OfflineRefuse=0
ID=2	DevID=4	OfflineRefuse=0
ID=3	DevID=4	OfflineRefuse=0
ID=4	DevID=4	OfflineRefuse=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"592","20161116999","DATA DELETE extboardrelationlist *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"591","20161116999","DATA DELETE extboardproperty *
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
"590","20161116999","DATA UPDATE DevParameters ID=4	Name=IsSupportReaderEncrypt	Value=0
...","Não","2026-08-13 15:39:43","2026-08-13 15:39:51","0","",
